School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
902344,Algoma Education Connection SS,Secondary,Public,272,2014-2015
019186,Anna McCrea PS,Elementary,Public,171,2014-2015
067679,Arthur Henderson PS,Elementary,Public,92,2014-2015
043362,Ben R McMullin PS,Elementary,Public,203,2014-2015
054542,Blind River PS,Elementary,Public,201,2014-2015
285552,Central Algoma E S,Elementary,Public,94,2014-2015
137967,Central Algoma Intermed S,Elementary,Public,168,2014-2015
891347,Central Algoma SS,Secondary,Public,320,2014-2015
093548,Central Avenue PS,Elementary,Public,197,2014-2015
900869,Chapleau HS,Secondary,Public,75,2014-2015
101214,Chapleau PS,Elementary,Public,107,2014-2015
161276,East View PS,Elementary,Public,323,2014-2015
165042,Echo Bay Central PS,Elementary,Public,168,2014-2015
908010,Elliot Lake SS,Secondary,Public,349,2014-2015
186783,Esten Park PS,Elementary,Public,144,2014-2015
202614,Francis H Clergue PS,Elementary,Public,637,2014-2015
227331,Grand View PS,Elementary,Public,237,2014-2015
230561,Greenwood PS,Elementary,Public,200,2014-2015
237191,H M Robbins PS,Elementary,Public,201,2014-2015
917370,Hornepayne HS,Secondary,Public,63,2014-2015
264750,Hornepayne PS,Elementary,Public,53,2014-2015
278270,Isabel Fletcher PS,Elementary,Public,172,2014-2015
302350,Kiwedin PS,Elementary,Public,126,2014-2015
920533,Korah C & VS,Secondary,Public,807,2014-2015
018309,Korah Intermediate (Elem),Elementary,Public,70,2014-2015
926086,Michipicoten HS,Secondary,Public,115,2014-2015
368490,Missarenda Consolidated PS,Elementary,Public,5,2014-2015
195200,Mountain View PS,Elementary,Public,198,2014-2015
891150,North Shore Adolescent Education S,Secondary,Public,18,2014-2015
410870,Northern Heights PS,Elementary,Public,200,2014-2015
434922,Parkland PS,Elementary,Public,211,2014-2015
442054,Pinewood PS,Elementary,Public,224,2014-2015
462616,Queen Elizabeth PS,Elementary,Public,231,2014-2015
468339,R M Moore PS,Elementary,Public,250,2014-2015
485497,River View PS,Elementary,Public,165,2014-2015
677523,Rockhaven School for Exceptional,Elementary,Public,27,2014-2015
490822,Rosedale PS,Elementary,Public,381,2014-2015
515396,Sir James Dunn PS,Elementary,Public,140,2014-2015
530603,St Joseph Island Central PS,Elementary,Public,99,2014-2015
958050,Superior Heights C & VS,Secondary,Public,883,2014-2015
672610,Superior Heights Community Education,Elementary,Public,32,2014-2015
106913,Superior Heights Intermediate E S,Elementary,Public,105,2014-2015
548413,Tarentorus PS,Elementary,Public,223,2014-2015
551660,Thessalon PS,Elementary,Public,176,2014-2015
895270,W C Eaket SS,Secondary,Public,174,2014-2015
953148,White Pines C & VS,Secondary,Public,514,2014-2015
144872,White Pines Intermediate Sr E S,Elementary,Public,51,2014-2015
616400,Wm Merrifield VC PS,Elementary,Public,129,2014-2015
765031,Archbishop O'Sullivan Catholic S,Elementary,Public,251,2014-2015
827681,Cathedrale Catholic S,Elementary,Public,265,2014-2015
708011,Georges Vanier Catholic S,Elementary,Public,332,2014-2015
715298,Holy Cross Catholic SS,Secondary,Public,1060,2014-2015
716669,Holy Family Catholic S,Elementary,Public,232,2014-2015
717703,Holy Name Catholic S,Elementary,Public,134,2014-2015
865257,Holy Name of Mary Catholic S,Elementary,Public,98,2014-2015
719919,Holy Rosary Catholic S,Elementary,Public,206,2014-2015
735523,J J O'Neill Catholic S,Elementary,Public,290,2014-2015
724068,John XXIII Catholic S,Elementary,Public,242,2014-2015
728420,Loyola Community Learning Centre,Secondary,Public,341,2014-2015
773875,Mother Teresa Catholic S,Elementary,Public,312,2014-2015
835099,Nicholson Catholic College,Secondary,Public,502,2014-2015
742279,Our Lady of Fatima Catholic S,Elementary,Public,178,2014-2015
746568,Our Lady of Lourdes Catholic S,Elementary,Public,298,2014-2015
746690,Our Lady of Mercy Catholic S,Elementary,Public,172,2014-2015
706264,Our Lady of Mount Carmel Catholic S,Elementary,Public,442,2014-2015
752932,Regiopolis/Notre-Dame Catholic HS,Secondary,Public,1039,2014-2015
756830,Sacred Heart Catholic S,Elementary,Public,160,2014-2015
764370,Sacred Heart Catholic S,Elementary,Public,127,2014-2015
868370,Sacred Heart Catholic S,Elementary,Public,62,2014-2015
781142,St Carthagh Catholic S,Elementary,Public,161,2014-2015
796220,St Gregory Catholic S,Elementary,Public,275,2014-2015
799556,St James Major,Elementary,Public,34,2014-2015
815330,St Joseph Catholic S,Elementary,Public,323,2014-2015
695602,St Joseph S,Elementary,Public,5,2014-2015
830984,St Marguerite Bourgeoys Catholic S,Elementary,Public,422,2014-2015
823570,St Martha Catholic S,Elementary,Public,419,2014-2015
824330,St Martin of Tours Catholic S,Elementary,Public,25,2014-2015
831840,St Mary Catholic S,Elementary,Public,465,2014-2015
865125,St Mary Catholic S,Elementary,Public,82,2014-2015
834688,St Michael Catholic S,Elementary,Public,552,2014-2015
764248,St Patrick Catholic S,Elementary,Public,29,2014-2015
838861,St Patrick Catholic S,Elementary,Public,53,2014-2015
841773,St Patrick Catholic S,Elementary,Public,247,2014-2015
706744,St Paul Catholic E S,Elementary,Public,128,2014-2015
842761,St Paul Catholic S,Elementary,Public,168,2014-2015
841358,St Paul Catholic SS,Secondary,Public,361,2014-2015
844845,St Peter Catholic S,Elementary,Public,86,2014-2015
845493,St Peter Catholic S,Elementary,Public,240,2014-2015
851752,St Theresa Catholic SS,Secondary,Public,703,2014-2015
856150,St Thomas More Catholic S,Elementary,Public,236,2014-2015
019313,Anne Hathaway PS,Elementary,Public,385,2014-2015
893048,Avon Maitland District E-learning Centre,Secondary,Public,220,2014-2015
028673,Avon PS,Elementary,Public,310,2014-2015
039306,Bedford PS,Elementary,Public,414,2014-2015
272319,Bluewater Coast E PS,Elementary,Public,144,2014-2015
066699,Brookside PS,Elementary,Public,185,2014-2015
899569,Central Huron SS,Secondary,Public,563,2014-2015
093718,Central Perth E S,Elementary,Public,233,2014-2015
112917,Clinton PS,Elementary,Public,275,2014-2015
145912,Downie Central PS,Elementary,Public,280,2014-2015
175170,Elma Township PS,Elementary,Public,441,2014-2015
190527,Exeter E S,Elementary,Public,324,2014-2015
953776,F E Madill SS,Secondary,Public,728,2014-2015
181908,F. E. Madill Elementary,Elementary,Public,146,2014-2015
450242,GDCI - Elementary,Elementary,Public,146,2014-2015
913600,Goderich District CI,Secondary,Public,512,2014-2015
478133,Goderich PS,Elementary,Public,479,2014-2015
242527,Hamlet PS,Elementary,Public,206,2014-2015
268003,Howick Central S,Elementary,Public,344,2014-2015
268640,Hullett Central PS,Elementary,Public,280,2014-2015
273694,Huron Centennial PS,Elementary,Public,357,2014-2015
095362,Listowel Central PS,Elementary,Public,386,2014-2015
923095,Listowel DSS,Secondary,Public,903,2014-2015
163619,Listowel Eastdale PS,Elementary,Public,249,2014-2015
285535,Little Falls Public School PS,Elementary,Public,503,2014-2015
517103,Maitland River Elementary,Elementary,Public,465,2014-2015
366021,Milverton PS,Elementary,Public,270,2014-2015
927120,Mitchell DHS,Secondary,Public,322,2014-2015
135064,Mitchell District Elementary,Elementary,Public,164,2014-2015
372781,Mornington Central PS,Elementary,Public,148,2014-2015
406040,North Easthope PS,Elementary,Public,152,2014-2015
578519,North Woods E PS,Elementary,Public,186,2014-2015
490040,Romeo PS,Elementary,Public,158,2014-2015
504475,Seaforth PS,Elementary,Public,300,2014-2015
507725,Shakespeare PS,Elementary,Public,186,2014-2015
943118,South Huron DHS,Secondary,Public,534,2014-2015
469900,South Huron District - Elementary,Elementary,Public,150,2014-2015
523267,South Perth Centennial PS,Elementary,Public,158,2014-2015
528650,Sprucedale PS,Elementary,Public,213,2014-2015
944807,St Marys DC & VI,Secondary,Public,445,2014-2015
100438,St. Marys DCVI - Elementary,Elementary,Public,125,2014-2015
535508,Stephen Central PS,Elementary,Public,188,2014-2015
531073,Stratford Central PS,Elementary,Public,309,2014-2015
945587,Stratford Central SS,Secondary,Public,791,2014-2015
531090,Stratford Northwestern PS,Elementary,Public,206,2014-2015
945714,Stratford Northwestern SS,Secondary,Public,901,2014-2015
566667,Upper Thames E S,Elementary,Public,584,2014-2015
583669,Wallace PS,Elementary,Public,175,2014-2015
010472,Alexandra Community S,Elementary,Public,215,2014-2015
011606,Amabel-Sauble Community S,Elementary,Public,125,2014-2015
022322,Arran Tara E S,Elementary,Public,255,2014-2015
036994,Bayview PS,Elementary,Public,271,2014-2015
552585,Beaver Valley Community S,Elementary,Public,405,2014-2015
340804,Beavercrest Community S,Elementary,Public,183,2014-2015
067709,Bruce Peninsula District S,Elementary,Public,160,2014-2015
896969,Bruce Peninsula District S,Secondary,Public,77,2014-2015
169200,Chesley District Community S,Elementary,Public,335,2014-2015
901253,Chesley District Community S,Secondary,Public,202,2014-2015
135143,Dawnview PS,Elementary,Public,190,2014-2015
137618,Derby PS,Elementary,Public,201,2014-2015
151165,Dufferin E S,Elementary,Public,230,2014-2015
458554,Dundalk & Proton Community S,Elementary,Public,205,2014-2015
167649,Egremont Community S,Elementary,Public,195,2014-2015
293776,Elgin Market PS,Elementary,Public,196,2014-2015
